Field;Tank;Reservoir;Date;Qoil;Qwat;Qliq;Qinj;Pres;Source_resp;Pbhp_prod;Pbhp_inj;Source_bhp;Wellwork;Wcut;Total_mobility;Wres;Wbhp_prod;Wbhp_inj;Pres_min;Pres_max;Pres_calc;Pbhp_calc;Pinj_calc;Geom_factor;Prod_Index;Inj_index;Frac_inj;Qliq_calc;Qinj_calc
Oilfield;W5;Carbonate;01.05.2020;3.223193548;11.28348387;14.50667742;0.0;;;;;;;0.777813109;1.0;;;;;;107.45601836139816;31.206610558344167;107.45601836139816;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;14.50667742;0.0
Oilfield;W5;Carbonate;01.06.2020;3.120166667;10.50846667;13.62863333;0.0;;;50.898;;Telemetry;;0.771057993;1.0;;1.0;;53.898;;109.88404815986226;38.249779988655916;109.88404815986226;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;13.62863333;0.0
Oilfield;W5;Carbonate;01.07.2020;2.949612903;10.26119355;13.21080645;0.0;;;51.13005;;Telemetry;;0.776727264;1.0;;1.0;;54.13005;;113.47167770341413;44.03357418396149;113.47167770341413;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;13.21080645;0.0
Oilfield;W5;Carbonate;01.08.2020;2.051677419;7.102290323;9.153967742;0.0;;;51.0918;;Telemetry;;0.77587015;1.0;;1.0;;54.0918;;115.78435701966636;67.66964410728953;115.78435701966636;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;9.153967742;0.0
Oilfield;W5;Carbonate;01.09.2020;1.825933333;6.268133333;8.094066667;0.0;;;51.86955;;Telemetry;;0.774410885;1.0;;1.0;;54.86955;;116.47169184690674;73.92798785399138;116.47169184690674;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;8.094066667;0.0
Oilfield;W5;Carbonate;01.10.2020;1.915193548;7.144645161;9.05983871;0.0;;;55.1854;;Telemetry;;0.78860622;1.0;;1.0;;58.1854;;116.83058337731316;69.21062765428277;116.83058337731316;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;9.05983871;0.0
Oilfield;W5;Carbonate;01.11.2020;1.633466667;6.413133333;8.0466;0.0;;;55.7532;;Telemetry;;0.796999147;1.0;;1.0;;58.7532;;117.27470825787283;74.9804966293596;117.27470825787283;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;8.0466;0.0
Oilfield;W5;Carbonate;01.12.2020;0.094612903;0.387548387;0.48216129;34.87096774;;;;143.5174;;;0.803773332;1.0;;;1.0;;140.5174;129.63411633913242;127.0997997783071;151.5024453329211;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;0.48216129;34.87096774
Oilfield;W5;Carbonate;01.01.2021;0.0;0.0;0.0;54.0;;;;186.762;;;0.803773332;1.0;;;1.0;;183.762;142.64764992866685;142.64764992866685;176.51220380251897;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;0.0;54.0
Oilfield;W5;Carbonate;01.02.2021;0.0;0.0;0.0;23.14285714;;;;186.762;;;0.803773332;1.0;;;1.0;;183.762;140.82423755445882;140.82423755445882;155.33761778431796;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;0.0;23.14285714
Oilfield;W5;Carbonate;01.03.2021;0.0;0.0;0.0;44.80645161;;;;187.16184;;;0.803773332;1.0;;;1.0;;184.16184;145.663544871022;145.663544871022;173.7626281014478;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;0.0;44.80645161
Oilfield;W5;Carbonate;01.04.2021;0.0;0.0;0.0;54.0;;;;187.7616;;;0.803773332;1.0;;;1.0;;184.7616;150.96208907063945;150.96208907063945;184.82664294449157;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;0.0;54.0
Oilfield;W5;Carbonate;01.05.2021;0.0;0.0;0.0;45.5483871;;;;187.7616;;;0.803773332;1.0;;;1.0;;184.7616;152.3354071627169;152.3354071627169;180.8997739926247;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;0.0;45.5483871
Oilfield;W5;Carbonate;01.06.2021;0.0;0.0;0.0;53.83333333;;;;187.7616;;;0.803773332;1.0;;;1.0;;184.7616;156.16963456954196;156.16963456954196;189.92966821329796;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;0.0;53.83333333
Oilfield;W5;Carbonate;01.07.2021;0.0;0.0;0.0;53.48387097;;;;187.9282;Telemetry;;0.803773332;1.0;;;1.0;;184.9282;156.67028089501025;156.67028089501025;190.21115922548654;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;0.0;53.48387097
Oilfield;W5;Carbonate;01.08.2021;0.0;0.0;0.0;53.74193548;;;;187.9282;Telemetry;;0.803773332;1.0;;;1.0;;184.9282;155.49442467978034;155.49442467978034;189.19714077880894;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;0.0;53.74193548
Oilfield;W5;Carbonate;01.09.2021;0.0;0.0;0.0;54.0;;;;187.86156;Telemetry;;0.803773332;1.0;;;1.0;;184.86156;153.7764522927906;153.7764522927906;187.6410061666427;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;0.0;54.0
Oilfield;W5;Carbonate;01.10.2021;0.0;0.0;0.0;54.0;;;;187.7616;Telemetry;;0.803773332;1.0;;;1.0;;184.7616;155.20376230581587;155.20376230581587;189.068316179668;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;0.0;54.0
Oilfield;W5;Carbonate;01.11.2021;0.0;0.0;0.0;54.0;;;;188.06148;Telemetry;;0.803773332;1.0;;;1.0;;185.06148;155.27526669598905;155.27526669598905;189.13982056984116;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;0.0;54.0
Oilfield;W5;Carbonate;01.12.2021;0.0;0.0;0.0;54.16129032;;;;160.7724;Telemetry;;0.803773332;1.0;;;1.0;;157.7724;157.26761003502074;157.26761003502074;191.23331251500196;0.19025298475064312;0.19025298475064312;1.5945876683081033;1.0;0.0;54.16129032
Oilfield;W6;Carbonate;01.12.2016;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;166.2;166.2;166.2;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
